id,stud.id,name,gender,age,format ,studies,score,salary
1,200803,"Lang, Mackenzie",Female,22,online,Environmental Sciences,61,45254.10802
2,354271,"Covar Orendain, Christopher",Male,23,online,Mathematics and Statistics,76,40552.79024
3,317812,"Lopez, Monique",Female,20,online,Social Sciences,70,27007.03029
4,350040,"Hines, Haileigh",Female,22,in-person,Biology,54,33969.15927
5,763393,"Woolsey, Bronson",Male,24,online,Social Sciences,73,50617.64187
6,411253,"Yang, Manuel",Male,23,in-person,Mathematics and Statistics,46,37391.87237
7,835757,"Lujan, Malia",Female,22,online,Environmental Sciences,92,35598.88169
8,902697,"Phan, Edeer",Male,19,online,Economics and Finance,75,39703.74488
9,267025,"Brown, Nhan",Male,21,online,Mathematics and Statistics,58,30086.76481
10,373120,"Livingston, Sarah",Female,44,in-person,Environmental Sciences,52,31494.32082
11,201130,"Cebrun, Linda",Female,21,in-person,Social Sciences,75,32519.22408
12,358005,"Eydi Shahroodi, Erik",Male,20,online,Political Science,63,42593.26038
13,680483,"Truong, Patrick",Male,20,in-person,Environmental Sciences,73,60407.31727
14,841076,"Pacheco, Cydney",Female,19,in-person,Political Science,81,49111.42749
15,980136,"Munoz, Derrick",Male,24,online,Political Science,68,33068.84865
16,253731,"Castillo, Anastasia",Female,24,online,Biology,75,37803.51321
17,514389,"Picard, Brittney",Female,21,online,Mathematics and Statistics,77,35191.66276
18,168184,"Briseno, Davie",Male,23,online,Social Sciences,87,39342.52267
19,173174,"Butler, Courtney",Female,21,in-person,Economics and Finance,41,28128.37423
20,336025,"Lobato, Allan",Male,21,online,Biology,91,36204.30096
21,657755,"Cowans, Tylar",Male,22,online,Social Sciences,67,35881.20894
22,856894,"Messenger, Amber",Female,21,online,Biology,63,39451.46699
23,730300,"Nakarmi Dhital, Derek",Male,20,online,Social Sciences,54,20511.15096
24,303723,"Ditzler, Jared",Male,21,online,Environmental Sciences,91,58080.50014
25,159105,"Boone, Ishi",Male,22,in-person,Political Science,71,34190.67565
26,131435,"Brown, Dmitriy",Male,23,in-person,Environmental Sciences,44,44027.96788
27,420250,"Hall, Zachary",Male,18,online,Mathematics and Statistics,63,51564.03762
28,734612,"Noy, Damian",Male,24,online,Economics and Finance,84,51222.99786
29,931933,"Hoang, Christopher",Male,19,online,Environmental Sciences,77,49476.01035
30,911287,"Rangel, Ahbreyonna",Female,23,in-person,Environmental Sciences,43,37809.76469
31,587981,"Cordova, Stephen",Male,20,in-person,Political Science,89,56996.09438
32,763933,"Lynn, Brandon",Male,22,in-person,Environmental Sciences,82,46242.93284
33,807518,"Alkarim, Dwight",Male,20,in-person,Environmental Sciences,59,42064.67956
34,548177,"Woodard, Aaron",Male,21,online,Political Science,94,41618.86097
35,604302,"Tom, Samuel",Male,22,online,Biology,69,39037.89243
36,564694,"Fernandes, Yasmeen",Female,22,online,Environmental Sciences,51,23717.3565
37,356008,"Brink, Dominic",Male,18,online,Political Science,83,43332.83744
38,595769,"O'Hearon, Rio",Female,19,in-person,Economics and Finance,77,39587.61419
39,777815,"Diaz Daughtry, Jorge",Male,22,in-person,Environmental Sciences,72,64486.40644
40,390559,"Daughtry, Emily",Female,19,online,Economics and Finance,83,45504.19175
41,612668,"Martinez, Ruby",Female,20,in-person,Mathematics and Statistics,64,30611.50718
42,728141,"Mcdonald, Ariana",Female,21,online,Social Sciences,86,39368.90364
43,168476,"Young, Mikal",Male,22,in-person,Political Science,65,43379.77831
44,601421,"Afalava, Luis",Male,24,online,Biology,70,40460.52043
45,752528,"Magno, Sergio",Male,21,online,Economics and Finance,73,42062.54593
46,192380,"Mcconnell, Keegan",Male,43,online,Environmental Sciences,92,41373.01415
47,832270,"Clift, Navkirat",Male,21,online,Environmental Sciences,90,65013.0088
48,770459,"Lish, Christian",Male,22,online,Economics and Finance,73,37668.89026
49,194438,"Douglas, Daniel",Male,20,online,Mathematics and Statistics,51,35881.7362
50,597357,"Atencio, Trysten",Female,22,online,Mathematics and Statistics,87,35816.24021
51,892039,"Keyer, Brandon",Male,23,online,Political Science,74,38304.95905
52,834001,"Omotosho, Alexis",Female,21,online,Economics and Finance,57,33726.58383
53,661280,"Lamorie, Nancy",Female,20,online,Political Science,72,39403.4831
54,694180,"Denning, Jonathan",Male,18,online,Environmental Sciences,93,64525.11155
55,396355,"Rikke, Ja Von",Male,19,online,Environmental Sciences,78,37625.68727
56,318277,"Swiney, Kesang",Female,20,online,Mathematics and Statistics,84,31982.90479
57,701439,"Bajwa, Anthony",Male,25,online,Biology,75,37064.63282
58,696684,"Dintaman, Muhammad",Male,20,in-person,Environmental Sciences,63,71467.89992
59,530824,"Tan, Tristin",Male,22,in-person,Biology,86,58670.84946
60,290462,"Spriggs, Christopher",Male,18,online,Biology,76,37691.92767
61,932496,"Villalobos-Valdez, Denajae",Female,21,online,Mathematics and Statistics,41,37036.28314
62,538530,"Moses, Jeffrey",Male,60,online,Political Science,49,39758.05095
63,195524,"Chacon, Peter",Male,20,online,Biology,79,43101.36476
64,308805,"Le, Mathew",Male,23,in-person,Social Sciences,90,59001.48731
65,311317,"Zeng, Patrick",Male,19,online,Economics and Finance,50,21722.33876
66,334855,"Houck, Patrick",Male,20,online,Social Sciences,81,56717.13858
67,788765,"Lightfoot, Johnny",Male,22,online,Environmental Sciences,66,51518.15402
68,944446,"Watchman, Aaron",Male,21,online,Environmental Sciences,65,55664.49541
69,566236,"Lopez, Zhana",Female,21,online,Economics and Finance,73,43724.38626
70,879277,"Lansing, Noah",Male,23,in-person,Biology,73,39862.09827
71,561670,"Nwairo, Ivy",Female,20,online,Social Sciences,76,24297.1551
72,327389,"Young Jackson, Mariah",Female,20,in-person,Environmental Sciences,88,40562.7449
73,948224,"Favors, Tommy",Male,27,online,Economics and Finance,49,32704.01887
74,206514,"Walck, Sam",Male,19,online,Mathematics and Statistics,81,49372.54091
75,755701,"Bui, Kenny",Male,22,online,Social Sciences,80,49485.36939
76,189369,"Miller, Jordan",Male,22,online,Political Science,43,33108.64524
77,907903,"Chase, Surra",Male,39,online,Environmental Sciences,56,30375.19115
78,157233,"Kim, Salvador",Male,20,online,Political Science,89,45926.40532
79,741781,"Ung, Devin",Male,19,in-person,Social Sciences,63,49091.01011
80,755108,"Kuch, Julio",Male,19,online,Social Sciences,91,48449.52772
81,155776,"Vo, Shawn",Male,19,in-person,Economics and Finance,83,53178.73999
82,591314,"Jones, Osue",Male,27,in-person,Economics and Finance,66,35065.14453
83,632912,"Osuala, Collin",Male,22,online,Social Sciences,58,48190.83336
84,409582,"Washington, Kelli",Female,20,online,Mathematics and Statistics,75,50790.13025
85,413617,"Ortiz, Marcus",Male,21,online,Political Science,82,57164.60067
86,229836,"Topaha, Isaiah",Male,55,online,Social Sciences,56,39239.56407
87,412195,"Elwood, Everett",Male,21,online,Economics and Finance,93,50763.65584
88,357559,"Daniels, Savian",Female,22,in-person,Economics and Finance,47,31749.80683
89,195489,"Gang, Terell",Male,22,online,Economics and Finance,61,48126.35525
90,869543,"Dural, Brooklyn",Female,21,online,Mathematics and Statistics,79,33365.41896
91,729441,"Compton, Cristina",Female,34,online,Economics and Finance,57,33208.00874
92,211258,"Meyerhofer, Caledon",Male,20,in-person,Political Science,69,39448.24826
93,473908,"Osman, Nicolas",Male,21,in-person,Mathematics and Statistics,49,43007.86425
94,424253,"Corbett, Gavin",Male,20,online,Mathematics and Statistics,71,48784.55228
